rank,character
id,汉字
1,的
2,一
3,是
4,不
5,了
6,在
7,有
8,人
9,这
10,上
11,大
12,来
13,和
14,我
15,个
16,中
17,地
18,为
19,他
20,生
21,要
22,们
23,以
24,到
25,国
26,时
27,就
28,出
29,说
30,会
31,也
32,子
33,学
34,发
35,着
36,对
37,作
38,能
39,可
40,于
41,成
42,用
43,过
44,动
45,主
46,下
47,而
48,年
49,分
50,得
51,家
52,种
53,里
54,多
55,经
56,自
57,现
58,同
59,后
60,产
61,方
62,工
63,行
64,面
65,那
66,小
67,所
68,起
69,去
70,之
71,都
72,然
73,理
74,进
75,体
76,还
77,定
78,实
79,如
80,么
81,物
82,法
83,你
84,好
85,性
86,民
87,从
88,天
89,化
90,等
91,力
92,本
93,长
94,心
95,把
96,部
97,义
98,样
99,事
100,看
101,业
102,当
103,因
104,高
105,十
106,开
107,些
108,社
109,前
110,又
111,它
112,水
113,其
114,没
115,想
116,意
117,三
118,只
119,重
120,点
121,与
122,使
123,但
124,度
125,由
126,道
127,全
128,制
129,明
130,相
131,两
132,情
133,外
134,间
135,二
136,关
137,活
138,正
139,合
140,者
141,形
142,应
143,头
144,无
145,量
146,表
147,象
148,气
149,文
150,展
151,系
152,代
153,加
154,各
155,很
156,教
157,新
158,向
159,机
160,她
161,内
162,此
163,老
164,变
165,原
166,结
167,问
168,手
169,日
170,利
171,质
172,已
173,最
174,政
175,儿
176,见
177,并
178,平
179,资
180,比
181,特
182,果
183,什
184,建
185,反
186,常
187,知
188,第
189,电
190,思
191,立
192,提
193,或
194,通
195,解
196,身
197,四
198,品
199,几
200,位
201,别
202,论
203,公
204,给
205,少
206,条
207,观
208,回
209,海
210,基
211,次
212,被
213,山
214,才
215,己
216,期
217,西
218,术
219,济
220,认
221,先
222,命
223,走
224,真
225,员
226,及
227,数
228,话
229,门
230,级
231,军
232,统
233,光
234,声
235,题
236,入
237,美
238,口
239,感
240,战
241,科
242,程
243,式
244,指
245,世
246,必
247,放
248,打
249,接
250,总
251,做
252,东
253,区
254,农
255,强
256,造
257,类
258,受
259,场
260,五
261,直
262,月
263,流
264,决
265,干
266,则
267,更
268,色
269,处
270,路
271,运
272,任
273,具
274,目
275,再
276,治
277,神
278,求
279,件
280,管
281,组
282,根
